    ,ORDER,FAMILY,GENUS,SPECIES,COUNTRY,STATE,COUNTY,LOCALITY1,LOCALITY2,LEGAL_TRS,LAT,LONG,LATDEG,LATMIN,LATSEC,LATHEM,LONGDEG,LONGMIN,LONGSEC,LONGHEM,HABITAT,DAYCOLLFRM,MONCOLLFRM,YRCOLLFROM,ELEV_FT,SEX,REPROD,AGE,COLLECTOR,PREPARER,PARTS,POSSIBLE HYBRID,SPECCOL,Alveolar length,Diastema length,M1 length,M2 Length,M3 Length,Premax to frontal,M1 Width,M1M2 Length,Total length (TL),Tail vertebra (TV),Hindfoot (HF),Ear (EA),Weight
FW05611,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,LINN CO,5.5 MI. W ALBANY,,,44.5700,-123.16,44,34,,N,123,10,,W,,19,APR,1940,,Male,N,,"C.L. NUNENCAMP, CLN-4-40",N,SKIN AND SKULL,,N,9.16,16.11,3.33,2.52,2.28,36.24,2.62,6.36,414.00,223.00,40.00,,
FW05612,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,CORVALLIS,,,44.5600,-123.26,44,34,,N,123,16,,W,,,FEB,1949,,Female,N,,"R. SCOTT, RS-8-49",N,SKIN AND SKULL,,N,9.31,12.31,3.24,2.36,2.04,30.48,2.22,6.31,357.00,190.00,39.00,,
FW05613,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,MONROE,,,44.3200,-123.30,44,19,,N,123,18,,W,,26,JAN,1950,,Male,N,,"M.L. MONTGOMERY, MLM-4-50",N,SKIN AND SKULL,,N,9.71,14.48,3.59,2.39,2.28,34.95,2.28,6.44,433.00,215.00,39.00,,
FW05614,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,5 MI. N CORVALLIS,,,44.6300,-123.26,44,38,,N,123,16,,W,,30,JAN,1949,,Female,N,,"R.M. YANCEY, RMY-26",N,SKULL ONLY,,N,9.81,13.47,3.62,2.84,2.21,33.04,2.22,6.56,395.00,210.00,43.00,,
FW06532,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"1 MI. N CORVALLIS, T11S, R5W, SEC. 15",,,44.6100,-123.26,44,37,,N,123,16,,W,,4,APR,1951,,Male,N,,"K.M. WALKER, KMW-698",N,SKIN AND SKULL,,ALEX WALKER 845,9.68,14.21,3.48,2.22,2.15,33.43,2.23,6.38,447.00,225.00,43.00,,
FW06533,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,MARION CO,"6 MI. S SALEM, SUNNYSIDE",,,44.8300,-123.03,44,50,,N,123,2,,W,,15,NOV,1938,,Male,N,,"C. A. HUBBARD, CAH",N,SKIN AND SKULL,,ALEX WALKER 846,9.59,13.65,3.64,,2.16,34.09,2.17,,435.00,215.00,43.00,,
FW07538,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON,"1 MI. N, 1 MI. E CORVALLIS",,,43.5800,-123.24,44,34,48,N,123,14,24,W,SCRUB APPLE FENCE ROW,26,OCT,1983,250,Female,NULLIPAROUS,Ad,J. SPITZ,"J. SPITZ, JAS83-4",,,,9.82,12.90,3.54,2.52,2.05,32.31,2.17,6.51,396.00,190.00,41.00,31.00,177.80
FW08873,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON,"2 MI. N, 1 MI. E ADAIR VILLAGE",,"T10S, R4W, NW1/4 SEC. 19",44.7118,-123.20,,0,0,,,,0,,,7,OCT,1989,,Male,TESTIS (9 X 5 MM),Juv,B.J. VERTS,"L.F. ALEXANDER, X-1889","SKIN, SKULL, AND SKELETON",,,9.03,11.79,3.85,2.05,2.02,31.63,2.14,6.14,387.00,206.00,42.00,30.00,150.20
FW08874,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON,"1 MI. N, 1 MI. E ADAIR VILLAGE",,"T10S, R4W, SE1/4 SEC. 20",44.6927,-123.20,,0,0,,,,0,,,7,OCT,1989,,Female,NULLIPAROUS,Juv,B.J. VERTS,"L.F. ALEXANDER, X-1890","SKIN, SKULL, AND SKELETON",,,8.96,11.23,3.32,2.49,2.01,30.74,2.14,6.29,346.00,180.00,41.00,28.00,131.90
RCT 563,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,LAKE CO,,,,43.2484,-121.02,,,,,,,,,,8,16,2023,,Female,,Ad,,,SKULL AND SKELETON,,,8.30,10.59,3.21,2.37,1.66,26.58,1.82,5.95,280.00,140.00,36.00,29.00,89.50
RCT 566,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,LAKE CO,,,,43.2478,-121.02,,,,,,,,,,8,17,2023,,Female,,Ad,,,SKULL AND SKELETON,,,8.61,11.13,3.28,2.64,1.42,27.25,2.06,6.04,,125.00,35.00,30.00,105.00
RCT 723,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,LAKE CO,,,,43.2469,-121.02,,,,,,,,,,6,30,2024,,Male,,Ad,,,SKULL AND SKELETON,,,9.63,14.52,3.81,2.36,2.05,35.28,2.38,6.76,420.00,204.00,40.00,33.00,325.00
RCT 725,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,LAKE CO,,,,43.2469,-121.02,,,,,,,,,,7,1,2024,,Male,,Ad,,,SKULL AND SKELETON,,,8.81,12.02,3.16,2.44,1.91,29.72,1.90,5.85,375.00,172.00,41.00,32.00,175.00
FW00577,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,MALHEUR CO,3 MI. S ROME,,,42.7800,-117.61,42,47,,N,117,37,,W,,22,APR,1970,,Female,N,Ad ,"B.J. VERTS, -",N,SKIN AND SKULL,,N,7.85,11.07,3.34,2.28,1.56,28.57,2.04,5.88,286.00,118.00,29.00,28.00,122.00
FW01631,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"16 MI. N, 3 MI. E FRENCHGLEN","(1.25 MI. N, 0.75 MI. W BUENA VISTA)",,43.0300,-118.85,43,2,,N,118,51,,W,,17,APR,1972,4500,Male,TESTIS 18 X 10MM,Ad,"B.J VERTS, 72-27",N,SKIN AND SKULL,,N,8.03,11.20,3.61,2.06,1.58,29.12,2.08,5.94,291.00,119.00,31.00,31.00,131.00
FW01632,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"16 MI. N, 3 MI. E FRENCHGLEN","(1.25 MI. N, 0.75 MI. W BUENA VISTA STATION)",,43.0300,-118.85,43,2,,N,118,51,,W,,17,APR,1972,4500,Female,NULLIPAROUS,Juv,"B.J. VERTS, 72-26",N,SKIN AND SKULL,,N,7.42,8.46,3.03,2.04,1.20,22.98,1.74,5.46,203.00,83.00,28.00,26.00,62.00
FW02136,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"4 MI. S, 12 MI. W RILEY",,,43.4900,-119.72,43,29,,N,119,43,,W,,6,OCT,1972,4500,Female,PLACENTAL SCARS 2R AND 4L,Ad,"R. GARNER, RCG-72-2",N,SKIN AND SKULL,,N,7.85,10.25,3.12,1.89,1.41,26.91,1.95,5.56,262.00,112.00,31.00,30.00,110.23
FW02163,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"2 MI. S, 11 MI. W RILEY",,,44.4000,121.41,43,31,,N,119,43,,W,,6,OCT,1972,5200,Male,TESTIS 6 X 8MM,Ad,"D.C. WOLVERTON, 72-2",N,SKIN AND SKULL,,N,7.67,11.55,3.35,2.04,1.69,28.93,1.96,5.70,281.00,118.00,32.00,32.00,
FW02957,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"31 MI. S, 7 MI. E BURNS, MALHEUR NWR",,,43.1800,-118.94,43,11,,N,118,56,,W,,3,OCT,1974,4200,Male,N,Ad,"G. FELDHAMER, 74-25",N,SKIN AND SKULL,,N,7.92,10.83,3.19,2.16,1.59,28.38,1.94,5.45,260.00,110.00,31.00,25.00,123.70
FW02958,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"31 MI. S, 7 MI. E BURNS, MALHEUR NWR",,,43.1800,-118.74,43,11,,N,118,56,,W,,30,SEP,1974,4200,Male,N,Ad,"G. FELDHAMER,74-29",N,SKIN AND SKULL,,N,8.03,10.16,3.22,1.74,1.42,25.79,1.95,5.60,255.00,110.00,30.00,25.00,106.09
FW03119,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,13 MI. S FIELDS,,,42.0600,-118.66,42,4,,N,118,40,,W,,30,APR,1976,4500,Female,"PREGNANT: 3L, 1 RESORBING R",Ad,"B.J. VERTS, BJV-19-76",N,SKIN AND SKULL,,N,7.11,9.49,3.00,1.99,1.46,25.00,1.90,5.24,246.00,99.00,29.00,29.00,76.00
FW05618,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"STEENS MOUNTAIN, T31S, R32 1/2 E, SEC. 23",,"T31S, R32 1/2 E, SEC. 23",42.8600,118.78,42,52,,N,118,47,,W,,30,JUN,1953,,Female,4 LARGE EMBRYOS,,"C.G. AND P.A. HANSEN, CGH/PAH-165",N,SKIN AND CRANIUM ONLY,,N,7.99,10.89,3.44,2.08,1.64,28.39,1.98,5.65,283.00,125.00,28.00,29.00,
FW05621,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"STEENS MOUNTAIN, T30S, R31E, SEC. 14",,"T30S, R31E, SEC. 14",42.5800,-118.83,42,58,,N,118,50,,W,,15,JUN,1953,,Male,N,,"C.G. AND P.A. HANSEN, CGH/PAH-108",N,SKIN AND SKULL,,N,7.98,11.13,3.35,2.02,1.46,28.84,1.97,5.95,270.00,108.00,29.00,28.00,
FW05623,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"STEENS MOUNTAIN, T31S, R32 1/2 E, SEC. 23",,"T31S, R32 1/2 E, SEC. 23",42.8600,-118.98,42,52,,N,118,47,,W,,30,JUN,1953,,Male,N,,"C.G. AND P.A. HANSEN, CGH/PAH-167",N,SKIN AND SKULL,,N,7.11,8.45,3.02,1.71,1.07,22.70,1.78,5.32,200.00,86.00,26.00,26.00,
FW05625,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"STEENS MOUNTAIN, T30S, R31E, SEC. 14",,"T30S, R31E, SEC. 14",42.9600,-118.83,42,58,,N,118,50,,W,,15,JUN,1953,,Female,N,,"C.G. AND P.A. HANSEN, CGH/PAH-105",N,SKIN AND SKULL,,N,7.58,9.47,2.93,1.88,1.33,26.71,1.71,5.21,252.00,100.00,27.00,27.00,
FW05627,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,NEVADA,WASHOE CO,"0.25 MI W CRESSLER RANCH (IXL), SHELDON ANTELOPE REFUGE",,"T47N, R22E",41.8470,-119.61,0,0,,N,0,0,,W,,20,AUG,1952,5000,Male,N,,"B. McNAB, BKM-25",N,SKIN AND SKULL,,N,8.02,10.09,3.19,1.58,1.51,,2.03,5.22,272.00,110.00,32.00,26.00,
FW06863,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"6.75 MI. S, 12 MI. E FIELDS, TROUT CREEK",,"T39S, R36E, SEC. 25",42.1600,-118.43,42,10,,N,118,26,,W,,28,JUN,1982,,Male,TESTIS 5 X 3 MM,Juv,B.J. VERTS AND L.N.T. CARRAWAY,"B.J. VERTS, MM-21",SKIN AND SKULL,,N,8.06,9.96,3.14,1.70,1.35,26.95,1.85,5.59,263.00,112.00,31.00,32.00,93.10
FW06864,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"6.75 MI. S, 12 MI. E FIELDS, TROUT CREEK",,"T39S, R36E, SEC. 25",42.1600,-118.43,42,10,,N,118,26,,W,,28,JUN,1982,,Male,TESTIS 10 X 7 MM,Ad,B.J. VERTS AND L.N.T. CARRAWAY,"B.J. VERTS, MM-15",SKIN AND SKULL,,N,7.89,9.81,3.08,1.90,1.52,27.55,1.78,5.35,265.00,111.00,32.00,30.00,137.60
FW07440,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,HARNEY CO,"18 MI. N, 1 MI. E FRENCHGLEN",,"T29S, R31E, SW 1/4 NW 1/4 SEC. 4",43.0800,-118.88,43,5,,N,118,53,,W,,15,JUN,1984,4200,Male,TESTIS 8 X 5 MM,Ad,B.J. VERTS AND L.N. CARRAWAY,"L.N. CARRAWAY, LTC-376",,,,8.28,9.67,3.23,1.64,1.55,25.80,1.94,5.56,270.00,116.00,29.00,29.00,92.90
RCT 595,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,LAKE CO,,,,42.7622,-120.55,,,,,,,,,,8,18,2023,,Male,,Ad,,,SKULL AND SKELETON,,,8.60,11.08,3.39,2.28,2.00,27.79,2.11,6.07,264.00,110.00,21.00,30.00,145.00
RCT 609,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,LAKE CO,,,,42.7625,-120.55,,,,,,,,,,6,25,2024,,Male,,Ad,,,SKULL AND SKELETON,,,8.19,10.07,3.11,1.92,1.73,27.27,1.94,5.53,265.00,110.00,30.00,27.00,120.00
RCT 624,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,LAKE CO,,,,42.7625,-120.55,,,,,,,,,,6,25,2024,,Male,,Ad,,,SKULL AND SKELETON,,,8.68,9.89,3.15,2.26,1.84,27.41,1.91,5.66,261.00,99.00,31.00,30.00,137.00
RCT 632,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,LAKE CO,,,,42.7623,-120.56,,,,,,,,,,6,25,2024,,Female,,Ad,,,SKULL AND SKELETON,,,7.89,10.49,3.10,2.05,1.48,27.63,1.95,5.55,252.00,106.00,29.00,29.00,110.00
RCT 683,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,LAKE CO,,,,42.7622,-120.55,,,,,,,,,,6,27,2024,,Male,,Ad,,,SKULL AND SKELETON,,,8.02,9.64,2.96,1.85,1.63,26.08,1.76,5.22,241.00,109.00,30.00,30.00,104.00
