 ,ORDER,FAMILY,GENUS,SPECIES,COUNTRY,STATE,COUNTY,LOCALITY1,LOCALITY2,LEGAL_TRS,LAT,LONG,LATDEG,LATMIN,LATSEC,LATHEM,LONGDEG,LONGMIN,LONGSEC,LONGHEM,HABITAT,DAYCOLLFRM,MONCOLLFRM,YRCOLLFROM,ELEV_FT,SEX,REPROD,AGE,COLLECTOR,PREPARER,PARTS,POSSIBLE HYBRID,SPECCOL,Alveolar length,Diastema length,M1 length,M2 Length,M3 Length,M1 Width,M1M2 Length,Total length (TL),Tail vertebra (TV),Hindfoot (HF),Ear (EA),Weight
FW02486,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,CLACKAMAS CO,"0.25 MI. S, 0.5 MI. E SUNNYSIDE",,,,,45,26,,N,122,32,,W,,17,NOV,1971,159,Female,N,Ad,"R.L. BARNETT, RLB-2",N,SKIN AND SKULL,,N,9.25,7.60,3.81,2.80,2.29,2.10,6.76,475.00,220.00,40.00,35.00,302.00
FW02488,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,HARNEY CO,"9 MI. S, 2 MI. E BURNS",,,,,43,21,,N,119,1,,W,,27,NOV,1971,4500,Male,TESTIS 4 X 2 MM,Ad,"D. HINO, DWH-4",N,SKIN AND SKULL,,N,9.88,7.70,3.71,2.64,2.36,1.87,6.64,383.00,175.00,41.00,34.00,289.30
FW02492,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,0.5 MI. S CORVALLIS,,,,,44,34,,N,123,16,,W,,13,OCT,1971,237,Female,NULLIPAROUS,Ad,"C. BURNS, CAB-3",N,SKIN AND SKULL,,N,8.95,6.96,3.30,2.61,2.24,1.84,6.11,355.00,139.00,31.00,30.00,195.00
FW02509,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,JACKSON CO,"12 MI. S, 0.5 MI. E ASHLAND ON INTERSTATE 5 HIGHWAY",,,,,42,2,,N,122,43,,W,,10,OCT,1970,,Female,N,Ad,"G.W. HADDEN, GWH-2",N,SKIN AND SKULL,,N,8.90,7.21,3.45,2.53,2.31,1.84,6.17,395.00,185.00,41.00,32.00,223.00
FW02661,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,POLK CO,"2 MI. S, 1 MI. W MONMOUTH",,,,,44,49,,N,123,10,,W,,26,NOV,1973,172,Male,TESTIS 9 X 4.5 MM,Ad,"J. WARREN, JAW-7309",N,SKIN AND SKULL,,N,9.04,7.72,3.51,2.84,2.35,2.06,6.57,376.00,186.00,37.00,26.00,317.40
FW02687,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,KLAMATH CO,"7 MI. E MALIN, MALONE CAMPGROUND",,,,,42,1,,N,121,16,,W,,14,OCT,1973,4100,Male,N,Ad,"K. PREVETTE, KWP-3-73",N,SKIN AND SKULL,,N,9.03,5.94,3.38,2.66,1.90,1.81,6.25,372.00,158.00,40.00,52.00,223.50
FW02712,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"1 MI. N, 0.5 MI. E CORVALLIS",,,,,44,34,,N,123,14,,W,,23,NOV,1973,240,Male,TESTIS 9 X 7 MM,Ad,"J. LEAFGREN, JL-545",N,SKIN AND SKULL,,N,8.89,6.65,3.45,2.47,2.10,1.83,6.15,412.00,116.00,34.00,31.00,341.30
FW02750,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"1 MI. E REDMOND, REDMOND AIR CENTER",,,,,44,16,,N,121,9,,W,,25,AUG,1973,3400,Male,N,Ad,"J. DUBE, JRD-1-73",N,SKIN AND SKULL,,N,9.73,7.88,3.88,2.84,2.28,1.91,6.66,390.00,155.00,39.00,35.00,350.00
FW02851,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,LANE CO,"2 MI. N, 0.5 MI. E LONDON SPRINGS",,,,,43,39,,N,123,5,,W,,2,NOV,1974,850,Male,TESTIS 11 X 6 MM,Ad ,"L. GOODMAN, 74-02",N,SKIN AND SKULL,,N,9.44,7.72,3.48,2.54,2.33,1.77,6.26,457.00,238.00,43.00,33.00,304.50
FW02852,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,JEFFERSON CO,"1 MI. N, 3 MI. W CULVER",,,,,44,32,,N,121,16,,W,,12,OCT,1974,3000,Male,TESTIS 3 X 2 MM,Juv,"M. LALLY, MKL-74-3",N,SKIN AND SKULL,,N,9.44,6.84,3.42,2.38,2.24,1.82,6.06,320.00,126.00,38.00,29.00,137.00
