RCTID,OriginalTaxon,Taxon,L-R-B,Bone,Element,Position,Teeth,Burned,Evidence,Notes,Diastema.length,Alveolar.length,M1.length,M1.Width,M2.Length,M2.Width,M3.Length,M3.Width,M1M2.Length,Crown.Height,Bchron Age,Age Bin,UO.Num,Cave,Unit,Quad,Level,Level.Verbatim
1581,Neotoma cinerea,Neotoma cinerea,L,maxilla,maxilla,m1 only,,Burned,RE grooves and pits,,,,3.77,2.31,,,,,,4.35,12786.481,Pleistocene,,5,12,A,22,22 ash
1582,Neotoma cinerea,Neotoma cinerea,R,maxilla,maxilla,m1 only,,Burned,,,,,3.7,2.36,,,,,,4.01,13335.77433,Pleistocene,,5,12,A,23,23 ash
1583,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M1,,,Burned,,anterior loph broken,,,,2.54,,,,,,3.23,13335.77433,Pleistocene,,5,12,A,23,23 ash
1584,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M1,,,Burned,,,,,3.52,2.22,,,,,,3.94,13335.77433,Pleistocene,,5,12,A,23,23 ash
1585,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M1,,,Burned,,,,,3.64,2.45,,,,,,2.68,13335.77433,Pleistocene,,5,12,A,23,23 ash
1586,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M1,,,Burned,,,,,3.38,2.37,,,,,,3.35,13335.77433,Pleistocene,,5,12,A,23,23 ash
1587,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M1,,,Burned,,,,,3.53,2.18,,,,,,3.93,13335.77433,Pleistocene,,5,12,A,23,23 ash
1588,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M1,,,Burned,,posterior loph broken,,,,2.4,,,,,,3.58,13335.77433,Pleistocene,,5,12,A,23,23 ash
1589,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M1,,,Burned,,,,,3.66,2.53,,,,,,2.97,13335.77433,Pleistocene,,5,12,A,23,23 ash
1590,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M1,,,Burned,,posterior loph broken,,,,2.27,,,,,,2.66,13335.77433,Pleistocene,,5,12,A,23,23 ash
1591,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M1,,,Burned,,,,,3.43,2.2,,,,,,3.6,13335.77433,Pleistocene,,5,12,A,23,23 ash
1592,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M1,,,Burned,,just erupted,,,3.58,2.05,,,,,,3.61,13335.77433,Pleistocene,,5,12,A,23,23 ash
1593,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M2,,,Burned,"deep grooves, open lingual RE angle",,,,,,3.2,2.46,,,,2.41,13335.77433,Pleistocene,,5,12,A,23,23 ash
1594,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M3,,,Burned,"deep grooves, open lingual RE angle",,,,,,,,2.59,2.2,,2.03,13335.77433,Pleistocene,,5,12,A,23,23 ash
1595,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M2,,,Burned,"deep grooves, open lingual RE angle",post loph broken,,,,,,2.41,,,,2.78,13335.77433,Pleistocene,,5,12,A,23,23 ash
1596,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M2,,,Burned,"deep grooves, open lingual RE angle",buccal/lingual edges worn,,,,,2.95,1.78,,,,3.5,13335.77433,Pleistocene,,5,12,A,23,23 ash
1597,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M2,,,Burned,"deep grooves, open lingual RE angle",,,,,,3.19,2.64,,,,3.27,13335.77433,Pleistocene,,5,12,A,23,23 ash
1598,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,,Burned,"deep grooves, open lingual RE angle",,,,,,2.92,2.15,,,,2.84,13335.77433,Pleistocene,,5,12,A,23,23 ash
1599,Neotoma cinerea,Neotoma cinerea,R,mandible,lower M2,,,Burned,"deep grooves, open lingual RE angle",anterior/posterior lophs broken,,,,,,2.7,,,,0.98,13335.77433,Pleistocene,,5,12,A,23,23 ash
1600,Neotoma cin.fusc,Neotoma cin.fusc,R,maxilla,maxilla,,,Burned,,white,,9.61,,,,,,,,,13335.77433,Pleistocene,,5,12,A,23,23 ash
1601,Neotoma cin.fusc,Neotoma cin.fusc,L,maxilla,maxilla,,,Burned,,,,,,,,,,,,,13335.77433,Pleistocene,,5,12,A,23,23 ash
1602,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M2,,,Burned,,anterior/posterior lophs broken,,,,,,,,,,2.06,14062.387,Pleistocene,,5,12,A,24,24
1603,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M2,,,,,not burned,,,,,2.63,2.2,,,,,14062.387,Pleistocene,,5,12,A,24,24
1604,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M2,,,Burned,,posterior loph broken,,,,,,2.36,,,,3.67,14358.419,Pleistocene,,5,12,A,25,25 IB Ash + Charred
1605,Neotoma cinerea,Neotoma cinerea,L,maxilla,maxilla,,,,"RE, pits",teeth very worn,,,3.8,2.42,,,,,,1.13,14522.389,Pleistocene,,5,12,A,26,26
1606,Neotoma cinerea,Neotoma cinerea,L,maxilla,maxilla,m1-m2 only,,Burned,,,,,3.73,2.35,3.35,2.43,,,,1.42,14522.389,Pleistocene,,5,12,A,26,26
1607,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M1,,,,,just erupted,,,3.59,2.22,,,,,,,14522.389,Pleistocene,,5,12,A,26,26
1608,Neotoma cinerea,Neotoma cinerea,R,maxilla,upper M3,,,Burned,,very worn,,,,,,,2.88,2.31,,1.73,14522.389,Pleistocene,,5,12,A,26,26
1609,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M1,,,Burned,,posterior broken,,,,2.42,,,,,,1.98,14726.938,Pleistocene,,5,12,A,27,27
1610,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M2,,,Burned,,just erupted,,,,,2.64,2.03,,,,3.8,14726.938,Pleistocene,,5,12,A,27,27
1611,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M3,,,Burned,,,,,,,,,2.5,2,,2.33,15736.168,Pleistocene,,5,12,A,31,31
